timestamp,va1,va2,va3,va4,va5,va6,va7
1581223106.767767114,-0.00756511,-0.0561582,-0.000124645,-0.0685654,-0.0433081,-0.00898415,0.052601
1581223106.773846285,-0.00781727,-0.0575689,-1.96301e-05,-0.069393,-0.0443581,-0.00835742,0.0519122
1581223106.780025121,-0.00870447,-0.0672113,0.000165515,-0.0789926,-0.050334,-0.00917182,0.0617199
1581223106.786463159,-0.00745298,-0.0580512,9.76771e-05,-0.0683956,-0.0424947,-0.00677898,0.0542808
1581223106.792732005,-0.00694323,-0.054009,-1.82852e-05,-0.0638796,-0.0388162,-0.00592782,0.0533138
1581223106.798842838,-0.00717173,-0.0576638,-0.000154645,-0.0671745,-0.0375791,-0.00863121,0.0552764
1581223106.805437041,-0.00916013,-0.0662717,-4.80164e-05,-0.0789269,-0.0432619,-0.0136058,0.062335
1581223106.811766147,-0.00866402,-0.0536503,9.00599e-05,-0.0641786,-0.0346993,-0.012915,0.0484357
1581223106.817956809,-0.0116341,-0.0676384,0.000135403,-0.0810326,-0.0438054,-0.0146224,0.0623097
1581223106.823938779,-0.0112435,-0.0591227,7.95902e-05,-0.0713214,-0.0379691,-0.0124673,0.0567646
1581223106.863961980,-0.0130937,-0.0579931,-3.46625e-05,-0.0689738,-0.0385479,-0.0117162,0.0536496
1581223106.869920516,-0.0160785,-0.0658098,-3.83461e-05,-0.0787244,-0.0442567,-0.0146691,0.064736
1581223106.876647741,-0.0126673,-0.0538271,6.26173e-05,-0.063417,-0.0370143,-0.0111644,0.0491484
1581223106.882895312,-0.013008,-0.0587261,3.89706e-05,-0.0684114,-0.0420622,-0.0121895,0.0513208
1581223106.888915076,-0.0144917,-0.0679351,-2.91201e-05,-0.0786898,-0.0486562,-0.0140937,0.0587723
1581223106.894982781,-0.0124322,-0.0585946,-0.000119544,-0.0690843,-0.0430663,-0.0120835,0.0538628
1581223106.901518376,-0.00997425,-0.0523898,-0.000154001,-0.0640128,-0.0393245,-0.0115415,0.0511849
1581223106.907644240,-0.00981487,-0.057973,-0.000107222,-0.0682752,-0.042698,-0.011579,0.0547956
1581223106.913873556,-0.0106685,-0.0688665,8.79299e-05,-0.0787828,-0.0505523,-0.00983807,0.0610703
1581223106.919947346,-0.00875856,-0.0599708,-1.98267e-05,-0.0686003,-0.0444058,-0.00719134,0.0497938
1581223106.926625640,-0.00776784,-0.0532384,2.68482e-05,-0.063342,-0.0410515,-0.00660446,0.0456227
1581223106.966149798,-0.00792727,-0.0588177,6.1148e-06,-0.0698028,-0.0428675,-0.00778967,0.0538321
1581223106.972729769,-0.00869553,-0.0647994,0,-0.0760931,-0.0460643,-0.00846545,0.0628245
1581223106.978494703,-0.00727379,-0.0546821,0.000119391,-0.0634529,-0.0377797,-0.00555637,0.0528912
1581223106.984670186,-0.00764167,-0.0594623,0.000127033,-0.0686577,-0.0407764,-0.00547229,0.0550356
1581223106.990748802,-0.00771726,-0.0585276,2.94562e-05,-0.0700544,-0.0412688,-0.00547868,0.0530882
1581223106.997031043,-0.00897034,-0.0665339,1.94438e-05,-0.0798679,-0.047878,-0.0102337,0.0591186
